기준연월,분석영역,10대,20대,30대,40대,50대,60대,70대 이상
201711,우2동,5994,12331,17940,18856,15223,9616,3468
201712,부전1동,4301,14731,13412,12443,12138,8606,3299
201712,우2동,5831,11904,17483,18015,14481,9003,3136
201712,괘법동,3971,13152,11915,11980,13985,7075,1831
201712,남포동,1917,4568,4861,5276,5830,4317,1556
201712,부전2동,7132,25842,17066,13865,12282,7778,2675
201712,우1동,4264,8210,11427,11993,10053,6274,2264
201801,남포동,49168,145932,148386,160599,187990,155201,64897
201801,우1동,115574,234434,331826,357712,311935,208770,87505
201801,부전1동,96561,432557,397993,357295,353394,273204,119208
201801,부전2동,180557,896887,559053,434406,393309,269904,107156
201801,괘법동,79301,354762,333648,319361,395690,224534,64077
201801,우2동,150546,331472,499009,525169,438533,288428,114651
201802,괘법동,85215,333535,309426,297145,364730,206752,59496
201802,우1동,123982,239474,313732,334015,287118,197178,84751
201802,우2동,149623,304150,445425,471511,393468,262104,105685
201802,남포동,52364,131902,127934,139431,160944,135260,57798
201802,부전1동,97573,394034,359015,322881,317758,246593,108980
201802,부전2동,205729,853165,522723,402847,357258,246602,98185
201803,우1동,121358,235321,358359,374799,328892,228512,98146
201803,부전1동,110633,450487,399105,359876,362149,284658,126900
201803,부전2동,202921,897132,568735,442337,401602,280311,113077
201803,우2동,155133,336284,517694,532650,451493,306912,124207
201803,괘법동,100430,381460,336709,329240,418844,243187,71103
201803,남포동,43649,136879,138213,148334,180270,153656,67147
201804,우1동,119427,237409,370262,389330,340766,235915,101736
201804,남포동,35587,117060,121589,132091,166545,145350,65920
201804,우2동,139838,297130,472503,489150,422256,287269,117881
201804,괘법동,96364,372894,337076,327173,415283,240509,71850
201804,부전2동,165199,780645,503468,388936,348774,243910,97316
201804,부전1동,91140,399975,369411,334642,337638,272195,124895
201805,남포동,50099,126997,126740,140030,167031,146673,67056
201805,부전2동,210438,821322,505709,394484,352956,249109,101797
201805,괘법동,104082,367844,326946,324953,408217,239136,72100
201805,우1동,152355,265125,403907,435482,363444,252597,110330
201805,우2동,176513,327835,505960,537583,451933,306006,129622
201805,부전1동,105530,411127,374498,342745,346622,279651,128092
201806,남포동,35188,115461,116292,126940,157145,136741,61578
201806,부전1동,89309,397600,364247,332365,337513,272026,125947
201806,우2동,169157,362686,551607,571272,479381,321505,131725
201806,우1동,137445,278419,394604,414666,353173,244454,104206
201806,괘법동,91330,353478,320807,320830,405758,237994,72075
201806,부전2동,163758,765158,472203,360549,326432,232659,96542
201807,부전1동,3105,13005,11980,11049,10961,8713,4029
201807,괘법동,2877,10738,10445,10486,13274,7678,2336
201807,남포동,1498,4039,3768,4132,4857,4243,1951
201807,부전2동,6526,27982,15995,12421,10945,7794,3234
201807,우2동,6304,12563,18192,19115,16079,10839,4484
201807,우1동,5138,10451,13111,13922,11660,8057,3391
201808,남포동,1976,5397,4697,5031,5613,4742,2119
201808,우1동,4911,11284,13851,14098,11640,7887,3255
201808,우2동,6629,15280,20277,20390,16838,11205,4471
201808,부전1동,3151,14096,12414,11138,11060,8789,4020
201808,괘법동,2990,11672,10785,10694,13435,7740,2325
201808,부전2동,6718,31486,17194,13008,11249,7834,3176
201809,괘법동,3291,12420,10961,10826,13420,7840,2344
201809,부전2동,6473,29974,16696,12237,10442,7356,2965
201809,남포동,1930,5249,5033,5304,6077,5309,2314
201809,우2동,5542,13342,19587,19558,16599,11187,4478
201809,부전1동,2991,13248,11773,10344,10231,8304,3835
201809,우1동,3739,8459,12556,12715,10648,7411,3146
201810,부전1동,2891,12826,11859,10730,10787,8912,4125
201810,남포동,1843,4924,4878,5317,6413,5786,2551
201810,괘법동,3219,12101,10952,11254,14297,8493,2646
201810,부전2동,6056,27534,15819,11827,10306,7429,3066
201810,우2동,5782,12725,18642,19146,16511,11285,4582
201810,우1동,4655,7939,12027,12552,10775,7547,3286
201811,괘법동,3392,12501,10815,11321,14202,8412,2642
201811,우2동,5314,11639,16220,16693,14484,9913,4051
201811,부전2동,6293,27819,15403,11596,10091,7173,2948
201811,부전1동,3088,13085,11690,10699,10797,8915,4148
201811,남포동,1802,5007,4823,5266,6363,5602,2461
201811,우1동,4383,7880,11595,12128,10620,7507,3406
201812,부전2동,6277,24939,14373,11107,9635,6835,2787
201812,남포동,2457,5320,5190,5686,6555,5510,2323
201812,괘법동,3199,11765,10054,10356,13154,7610,2312
201812,부전1동,3206,12658,11250,10374,10320,8607,4072
201812,우2동,6385,12746,18445,18838,16154,10993,4515
201812,우1동,5051,9461,12604,13253,11508,8221,3732
201901,부전1동,80608,386101,372812,359398,364858,325893,175593
201901,부전2동,117861,633829,394909,324163,291816,225911,106516
201901,남포동,56364,159882,146026,165726,191115,181562,90092
201901,괘법동,69937,331779,305750,314049,406224,264949,88727
201901,우1동,135112,288693,386038,432400,379421,282737,132633
201901,우2동,163798,358328,524944,563682,480724,352890,159858
201902,남포동,65992,156610,137913,153455,164225,148238,71959
201902,우2동,165976,345097,475994,514174,429228,315751,143705
201902,우1동,142669,290306,364176,405989,344628,256538,122986
201902,괘법동,79115,318597,287429,288322,362482,237828,79992
201902,부전1동,85632,359910,335802,313928,310905,275752,147779
201902,부전2동,132527,596354,361655,288068,253546,194340,91743
