기준연월,분석영역,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
201606,남포동,22734,25553,26230,27362,27909,23695,18789,13868,13761,16491,18640,21014,23667,24429,24870,24186,23208,22530,22771,23103,22799,22285,22181,22494
201606,괘법동,51869,56342,57563,58116,54176,46311,37445,31736,34620,40547,41133,41820,43242,42673,42201,40686,39896,40899,43833,43683,44452,45424,46680,50666
201607,남포동,24253,26358,28100,28776,29660,26155,20243,16992,16707,18410,19978,22369,25076,25498,26265,25274,24194,22970,24201,23762,23900,23115,23110,23353
201607,우2동,51426,48478,46361,43113,40440,33630,29840,33975,41755,51014,55633,59711,65580,66476,68612,65876,63202,58680,61504,57545,56265,54721,54740,52751
201607,부전1동,35267,39558,47142,53218,55617,45817,28348,21404,22355,25806,27999,31180,33826,34264,34412,33205,32034,30536,33020,30956,29932,29528,32328,34418
201607,괘법동,52243,56099,60316,63079,60045,52919,41737,37533,40894,44486,44920,45946,48041,47057,47436,45393,44211,43513,47623,45908,46447,46205,47003,49726
201607,부전2동,109272,134947,162272,171364,156431,84388,40468,30004,31985,38649,44384,51342,58555,60391,61230,59657,58724,57314,64778,66173,67946,71317,83147,94044
201607,우1동,94847,107750,122967,126079,113999,67065,44384,43236,47665,51906,53339,54013,55268,54873,56144,55079,54126,51526,54434,56841,62344,67178,76164,85438
201608,부전1동,37829,43051,50446,56974,59487,49919,30406,24062,25064,28237,30726,33773,34329,36051,35959,34976,34436,32942,33072,33234,31114,31467,34799,36388
201608,부전2동,112432,139533,166488,177577,159953,93283,45832,35350,37868,44614,50869,58275,61687,65788,66313,65130,64980,63391,66726,71592,70697,75130,88291,98094
201608,우1동,94690,107322,120350,121610,112249,68011,43346,42401,46362,52630,55316,56654,54339,55442,56400,55225,54370,52726,52149,57625,61156,67899,77647,85629
201608,괘법동,51388,55364,60771,59460,59427,53513,43893,40733,44462,46607,47481,48317,47928,48967,48929,46933,46378,45581,46264,46954,45727,46345,47758,49864
201608,남포동,24785,26777,28076,28419,29723,27569,22003,18875,18865,20204,21886,24168,25147,26602,27207,26409,25744,24748,24264,25044,24242,23951,24355,23743
201608,우2동,54500,52280,52490,50324,47431,36289,31256,35001,43283,54783,59259,64161,66393,69492,70832,68574,66582,63131,61757,61213,57879,59098,58968,55140
201609,부전2동,114529,140147,169033,181758,166703,99768,50317,36906,41042,47806,52718,57601,60795,65417,61375,64191,62779,66467,70287,72580,75275,76276,89179,99456
201609,우1동,71561,79196,90074,90500,81211,53913,39632,39220,44157,47105,47486,46437,45272,47737,45349,47444,46010,47460,46730,48754,52409,54949,59933,65444
201609,괘법동,53749,56207,61104,59990,62224,56499,46903,40224,45211,49531,49127,49199,49670,51143,48011,48716,46913,49178,49785,47753,48183,47210,48524,50085
201609,남포동,25956,28162,29682,29712,30783,28758,23048,18785,19420,21162,22330,23761,24726,26419,25016,25771,24554,25289,24978,24200,24074,23463,24280,24548
201609,부전1동,42043,47369,56210,63679,65551,53225,33335,25348,27675,31234,33131,35496,36596,38843,36344,37637,36195,37117,37457,36016,35434,34766,38344,40263
201609,우2동,49857,47279,47092,45475,43433,35415,32359,35509,43458,51895,55235,56611,58202,62492,60024,61689,58720,59521,58175,55365,54320,53388,52460,50192
201610,부전2동,113480,137938,165726,177693,160471,97954,52183,36229,39327,46762,49674,58521,63054,61599,62722,65134,63273,60504,69299,72352,72987,73585,84639,95987
